"1,""01"",""ozan"",""OZAN"",""ozan"",""Ozan"",""O250"",""OSN"",""01190"",""284"",""01284"",""2"",""26"",""6"",""618"",""469"",""500"",""93"",""6.6"",""4.91667"",""46.3833"",""2866"",""51546"",""+45456"",""462330"",""170"",""205"""
"2,""01"",""cormoranche-sur-saone"",""CORMORANCHE-SUR-SAONE"",""cormoranche sur saone"",""Cormoranche-sur-Saône"",""C65652625"",""KRMRNXSRSN"",""01290"",""123"",""01123"",""2"",""27"",""6"",""1058"",""903"",""1000"",""107"",""9.85"",""4.83333"",""46.2333"",""2772"",""51379"",""+44953"",""461427"",""168"",""211"""
"3,""01"",""plagne-01"",""PLAGNE"",""plagne"",""Plagne"",""P425"",""PLKN"",""01130"",""298"",""01298"",""4"",""03"",""6"",""129"",""83"",""100"",""20"",""6.2"",""5.73333"",""46.1833"",""3769"",""51324"",""+54342"",""461131"",""560"",""922"""
"4,""01"",""tossiat"",""TOSSIAT"",""tossiat"",""Tossiat"",""T230"",""TST"",""01250"",""422"",""01422"",""2"",""25"",""6"",""1406"",""1111"",""1400"",""138"",""10.17"",""5.31667"",""46.1333"",""3309"",""51268"",""+51854"",""460828"",""244"",""501"""
"5,""01"",""pouillat"",""POUILLAT"",""pouillat"",""Pouillat"",""P430"",""PLT"",""01250"",""309"",""01309"",""2"",""33"",""6"",""88"",""58"",""100"",""14"",""6.23"",""5.43333"",""46.3333"",""3435"",""51475"",""+52542"",""461938"",""333"",""770"""
"6,""01"",""torcieu"",""TORCIEU"",""torcieu"",""Torcieu"",""T620"",""TRS"",""01230"",""421"",""01421"",""1"",""28"",""6"",""698"",""643"",""700"",""65"",""10.72"",""5.4"",""45.9167"",""3398"",""51025"",""+52343"",""455521"",""257"",""782"""
"7,""01"",""replonges"",""REPLONGES"",""replonges"",""Replonges"",""R1452"",""RPLNJS"",""01620"",""320"",""01320"",""2"",""02"",""6"",""3500"",""2841"",""3300"",""210"",""16.6"",""4.88333"",""46.3"",""2833"",""51456"",""+45310"",""461837"",""169"",""207"""
"8,""01"",""corcelles"",""CORCELLES"",""corcelles"",""Corcelles"",""C6242"",""KRSLS"",""01110"",""119"",""01119"",""4"",""06"",""6"",""243"",""222"",""200"",""17"",""14.16"",""5.58333"",""46.0333"",""3597"",""51151"",""+53428"",""460208"",""780"",""1081"""
"9,""01"",""peron"",""PERON"",""peron"",""Péron"",""P650"",""PRN"",""01630"",""288"",""01288"",""3"",""12"",""6"",""2143"",""1578"",""1900"",""82"",""26.01"",""5.93333"",""46.2"",""3989"",""51322"",""+55535"",""461124"",""411"",""1501"""
"10,""01"",""relevant"",""RELEVANT"",""relevant"",""Relevant"",""R4153"",""RLFNT"",""01990"",""319"",""01319"",""2"",""30"",""6"",""466"",""367"",""400"",""37"",""12.38"",""4.95"",""46.0833"",""2903"",""51211"",""+45658"",""460525"",""235"",""282"""
"11,""01"",""chaveyriat"",""CHAVEYRIAT"",""chaveyriat"",""Chaveyriat"",""C163"",""XFRT"",""01660"",""096"",""01096"",""2"",""10"",""6"",""927"",""810"",""900"",""54"",""16.87"",""5.06667"",""46.1833"",""3026"",""51331"",""+50338"",""461152"",""188"",""260"""
"12,""01"",""vaux-en-bugey"",""VAUX-EN-BUGEY"",""vaux en bugey"",""Vaux-en-Bugey"",""V2512"",""FKSNBJ"",""01150"",""431"",""01431"",""1"",""17"",""6"",""1169"",""1003"",""1100"",""142"",""8.22"",""5.35"",""45.9167"",""3352"",""51031"",""+52113"",""455541"",""252"",""681"""
"13,""01"",""maillat"",""MAILLAT"",""maillat"",""Maillat"",""M430"",""MLT"",""01430"",""228"",""01228"",""4"",""22"",""6"",""668"",""664"",""700"",""59"",""11.31"",""5.55"",""46.1333"",""3557"",""51255"",""+53217"",""460745"",""497"",""825"""
"14,""01"",""faramans-01"",""FARAMANS"",""faramans"",""Faramans"",""F652"",""FRMNS"",""01800"",""156"",""01156"",""2"",""19"",""6"",""681"",""591"",""600"",""60"",""11.22"",""5.11667"",""45.9"",""3099"",""51002"",""+50732"",""455407"",""255"",""306"""
"15,""01"",""beon-01"",""BEON"",""beon"",""Béon"",""B500"",""BN"",""01350"",""039"",""01039"",""1"",""09"",""6"",""373"",""364"",""400"",""36"",""10.3"",""5.75"",""45.8333"",""3798"",""50950"",""+54519"",""455117"",""228"",""1412"""
"16,""01"",""saint-bernard-01"",""SAINT-BERNARD"",""saint bernard"",""Saint-Bernard"",""S5316563"",""SNTBRNRT"",""01600"",""339"",""01339"",""2"",""34"",""6"",""1375"",""1281"",""1400"",""436"",""3.15"",""4.73723"",""45.945"",""2667"",""51050"",""+44414"",""455642"",""167"",""198"""
"17,""01"",""rossillon"",""ROSSILLON"",""rossillon"",""Rossillon"",""R245"",""RSLN"",""01510"",""329"",""01329"",""1"",""36"",""6"",""148"",""147"",""100"",""18"",""8.07"",""5.6"",""45.8333"",""3619"",""50924"",""+53537"",""454955"",""324"",""1022"""
"18,""01"",""pont-d-ain"",""PONT-D'AIN"",""pont d ain"",""Pont-d'Ain"",""P535"",""PNTTN"",""01160"",""304"",""01304"",""2"",""25"",""5"",""2627"",""2309"",""2500"",""234"",""11.22"",""5.33333"",""46.05"",""3333"",""51165"",""+52011"",""460254"",""232"",""314"""
"19,""01"",""nantua"",""NANTUA"",""nantua"",""Nantua"",""N300"",""NNT"",""01460"",""269"",""01269"",""4"",""22"",""4"",""3713"",""3922"",""3600"",""290"",""12.79"",""5.61667"",""46.15"",""3633"",""51282"",""+53622"",""460912"",""427"",""1125"""
"20,""01"",""chavannes-sur-reyssouze"",""CHAVANNES-SUR-REYSSOUZE"",""chavannes sur reyssouze"",""Chavannes-sur-Reyssouze"",""C15262"",""XFNSSRRSS"",""01190"",""094"",""01094"",""2"",""26"",""6"",""680"",""580"",""700"",""41"",""16.55"",""5"",""46.4333"",""2952"",""51590"",""+45935"",""462550"",""175"",""218"""
"465,""02"",""cuirieux"",""CUIRIEUX"",""cuirieux"",""Cuirieux"",""C620"",""KRKS"",""02350"",""248"",""02248"",""2"",""19"",""6"",""161"",""143"",""200"",""24"",""6.46"",""3.81667"",""49.6833"",""1642"",""55201"",""+34853"",""494051"",""74"",""121"""
"466,""02"",""iron"",""IRON"",""iron"",""Iron"",""I650"",""IRN"",""02510"",""386"",""02386"",""5"",""16"",""6"",""222"",""225"",""200"",""23"",""9.51"",""3.66667"",""49.95"",""1471"",""55505"",""+33936"",""495716"",""110"",""160"""
"467,""02"",""joncourt"",""JONCOURT"",""joncourt"",""Joncourt"",""J5263"",""JNKRT"",""02420"",""392"",""02392"",""3"",""06"",""6"",""322"",""332"",""300"",""44"",""7.25"",""3.3"",""49.95"",""1070"",""55507"",""+31758"",""495721"",""108"",""153"""
